job_id,job_title,company_type,industry,country,city,remote_type,experience_level,min_experience_years,salary_min_usd,salary_max_usd,employment_type,posted_year,company_size,salary_avg_usd,salary_level,career_stage,is_remote_friendly,role_group
0IFD0TVBDIVU,MLOps Engineer,Research Lab,Education,Australia,Remote,Remote,Entry,0,56873,72223,Full-time,2023,Large,64548.0,Low,Entry Level,True,Machine Learning
ZMF8MDD4V30T,Data Analyst,Startup,Education,Germany,Remote,Remote,Entry,0,54803,85599,Full-time,2024,Medium,70201.0,Low,Entry Level,True,Data Analytics
CX1945NQ4FMY,MLOps Engineer,Research Lab,Tech,Canada,Remote,Remote,Senior,5,149980,175806,Full-time,2021,Large,162893.0,Very High,Senior Level,True,Machine Learning
QJ7YHL1C32OC,Applied Scientist,Research Lab,Healthcare,Australia,Remote,Remote,Entry,0,53483,86477,Full-time,2023,Medium,69980.0,Low,Entry Level,True,Applied AI / Research
F0T0PVN9ER14,Machine Learning Engineer,Research Lab,Finance,Australia,Sydney,Hybrid,Mid,2,102977,127298,Full-time,2023,Large,115137.5,Medium,Mid Level,True,Machine Learning
9T84AZYTJXEP,Data Analyst,Startup,Healthcare,USA,Seattle,Hybrid,Senior,5,148201,179967,Full-time,2021,Large,164084.0,Very High,Senior Level,True,Data Analytics
SHNF877VREN9,AI Researcher,Startup,Tech,USA,Austin,Onsite,Senior,5,143946,173591,Full-time,2020,Small,158768.5,High,Senior Level,False,AI Research
1ERTJ5PHT0HL,MLOps Engineer,Research Lab,Healthcare,Australia,Sydney,Hybrid,Senior,5,147177,171959,Full-time,2023,Small,159568.0,High,Senior Level,True,Machine Learning
MVIHCWI64CIY,Machine Learning Engineer,Research Lab,Finance,India,Remote,Remote,Entry,0,61851,83711,Full-time,2024,Medium,72781.0,Low,Entry Level,True,Machine Learning
DXMO5BXXC02D,Machine Learning Engineer,Startup,Education,India,Chennai,Hybrid,Entry,0,57350,69593,Full-time,2023,Small,63471.5,Low,Entry Level,True,Machine Learning
P5TB94874FRH,Data Analyst,Startup,Finance,Germany,Munich,Hybrid,Entry,0,56209,65070,Full-time,2023,Medium,60639.5,Low,Entry Level,True,Data Analytics
89UZFK8UT0CV,Applied Scientist,Research Lab,Finance,UK,Manchester,Hybrid,Senior,5,140931,171640,Full-time,2020,Small,156285.5,High,Senior Level,True,Applied AI / Research
5O7UUBCXULJY,AI Researcher,Startup,Healthcare,USA,New York,Onsite,Senior,5,146484,159288,Full-time,2025,Large,152886.0,High,Senior Level,False,AI Research
AWUDTSEMCIKP,Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,Entry,0,60021,86429,Full-time,2024,Small,73225.0,Low,Entry Level,True,Applied AI / Research
D5J60FKHMY4S,AI Researcher,Startup,Tech,Australia,Melbourne,Onsite,Senior,5,150392,168879,Full-time,2026,Medium,159635.5,High,Senior Level,False,AI Research
1WJ0TPAC56T4,Applied Scientist,Research Lab,Finance,USA,Remote,Remote,Mid,2,97041,109176,Full-time,2020,Medium,103108.5,Medium,Mid Level,True,Applied AI / Research
HID25OWF7593,Data Analyst,Startup,Finance,Germany,Remote,Remote,Mid,2,102067,115885,Full-time,2026,Medium,108976.0,Medium,Mid Level,True,Data Analytics
FZNBQH7M35IX,Data Analyst,MNC,Healthcare,Australia,Sydney,Onsite,Mid,2,104161,107274,Full-time,2026,Medium,105717.5,Medium,Mid Level,False,Data Analytics
9T7E8G8JDP0L,Applied Scientist,Research Lab,Tech,Germany,Frankfurt,Onsite,Senior,5,146311,173893,Full-time,2021,Medium,160102.0,Very High,Senior Level,False,Applied AI / Research
S3Y70HP87WXE,AI Researcher,Research Lab,Healthcare,USA,Seattle,Onsite,Entry,0,60926,78382,Full-time,2022,Medium,69654.0,Low,Entry Level,False,AI Research
GXN0GUO4KH2V,AI Researcher,MNC,Retail,Australia,Brisbane,Hybrid,Entry,0,57244,87138,Full-time,2021,Large,72191.0,Low,Entry Level,True,AI Research
DSWM31YIHAIR,Data Scientist,MNC,Retail,UK,London,Onsite,Senior,5,154518,175636,Full-time,2024,Small,165077.0,Very High,Senior Level,False,Data Science
OFY6452H2ZQU,Data Scientist,MNC,Finance,Australia,Melbourne,Onsite,Mid,2,103130,120225,Full-time,2025,Large,111677.5,Medium,Mid Level,False,Data Science
WZS3T60RJIW1,Applied Scientist,MNC,Finance,Canada,Vancouver,Onsite,Mid,2,94499,119413,Full-time,2020,Large,106956.0,Medium,Mid Level,False,Applied AI / Research
M6CFNFHOLQC3,Data Analyst,Research Lab,Tech,Germany,Remote,Remote,Mid,2,104036,123864,Full-time,2023,Medium,113950.0,Medium,Mid Level,True,Data Analytics
48P0TVHHPBMY,Data Analyst,Research Lab,Finance,USA,Austin,Hybrid,Mid,2,103770,120315,Full-time,2021,Large,112042.5,Medium,Mid Level,True,Data Analytics
VXDP5GJLQM5K,Data Analyst,MNC,Tech,Canada,Remote,Remote,Mid,2,97705,105635,Full-time,2025,Large,101670.0,Medium,Mid Level,True,Data Analytics
C8BBI4WIRE8Q,AI Researcher,MNC,Finance,USA,San Francisco,Hybrid,Senior,5,149926,174898,Full-time,2025,Large,162412.0,Very High,Senior Level,True,AI Research
DALY8OZCYWD1,MLOps Engineer,Research Lab,Tech,USA,Remote,Remote,Mid,2,103045,123544,Full-time,2026,Small,113294.5,Medium,Mid Level,True,Machine Learning
NSM43D8W3ZP0,MLOps Engineer,MNC,Education,Germany,Frankfurt,Onsite,Senior,5,153241,172634,Full-time,2026,Medium,162937.5,Very High,Senior Level,False,Machine Learning
J43D5IQVNB4G,Machine Learning Engineer,MNC,Healthcare,UK,Birmingham,Hybrid,Senior,5,145576,164163,Full-time,2024,Large,154869.5,High,Senior Level,True,Machine Learning
8DZR1YXR2DHY,AI Researcher,Research Lab,Education,Germany,Berlin,Onsite,Senior,5,146046,170507,Full-time,2024,Large,158276.5,High,Senior Level,False,AI Research
ZJJEGET1GHR0,Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,Mid,2,91647,111360,Full-time,2022,Small,101503.5,Medium,Mid Level,True,Applied AI / Research
ATJ9TZE5R5UQ,Data Analyst,MNC,Finance,Germany,Remote,Remote,Mid,2,90841,113273,Full-time,2026,Medium,102057.0,Medium,Mid Level,True,Data Analytics
RUYF38DIUOVW,Applied Scientist,MNC,Retail,USA,Remote,Remote,Mid,2,104884,119507,Full-time,2022,Large,112195.5,Medium,Mid Level,True,Applied AI / Research
C8D1WJCITFOY,Data Analyst,MNC,Tech,UK,Birmingham,Hybrid,Senior,5,143792,164440,Full-time,2025,Medium,154116.0,High,Senior Level,True,Data Analytics
IJ2V2HEIFJFC,AI Researcher,Research Lab,Education,Australia,Sydney,Hybrid,Senior,5,144728,169390,Full-time,2020,Medium,157059.0,High,Senior Level,True,AI Research
7SRCBPLJD84U,Data Scientist,Research Lab,Healthcare,Australia,Brisbane,Hybrid,Mid,2,99441,106318,Full-time,2026,Small,102879.5,Medium,Mid Level,True,Data Science
6GVWRDMLY4LY,AI Researcher,Research Lab,Retail,UK,Birmingham,Onsite,Mid,2,103329,129920,Full-time,2024,Small,116624.5,Medium,Mid Level,False,AI Research
JE153A5QBSWR,Data Analyst,Startup,Finance,UK,Remote,Remote,Mid,2,94375,122996,Full-time,2021,Medium,108685.5,Medium,Mid Level,True,Data Analytics
